State_Name,thank you coronavirus helpers,coronavirus tips,coronavirus deaths,coronavirus ohio,michigan coronavirus,covid 19,coronavirus us cases,georgia coronavirus,coronavirus updates,john hopkins coronavirus,us coronavirus deaths,coronavirus usa cases,coronavirus cases in us,worldometer coronavirus,wisconsin coronavirus,maryland coronavirus,coronavirus map us,john hopkins coronavirus map,coronavirus update usa,coronavirus massachusetts,johns hopkins coronavirus map,coronavirus usa map,coronavirus cases in usa,coronavirus meme,coronavirus deaths in us
Alabama,92,85,57,0,0,65,70,9,42,56,61,70,66,51,0,0,46,57,67,0,38,45,76,63,65
Alaska,76,76,61,0,1,80,56,1,47,77,65,59,38,81,0,0,29,71,65,0,53,32,49,74,58
Arizona,87,87,78,1,1,66,74,1,73,68,84,72,67,67,0,0,29,64,72,0,45,31,78,81,77
Arkansas,85,85,59,0,0,72,69,1,52,61,66,59,69,50,0,0,46,65,69,0,34,50,78,64,68
California,86,82,63,0,0,60,55,1,50,62,63,65,43,69,0,0,17,55,57,0,37,21,67,72,61
Colorado,76,78,80,0,0,65,77,1,65,77,86,72,62,67,0,0,44,79,57,0,72,41,72,81,70
Connecticut,88,84,68,0,0,63,68,2,59,67,67,78,61,68,0,0,32,63,65,6,57,36,78,77,61
Delaware,88,90,68,0,0,62,67,2,72,67,77,87,67,62,0,7,34,55,80,1,77,46,87,76,62
District of Columbia,25,28,31,0,0,23,35,1,23,33,36,27,23,26,0,6,14,28,17,1,53,11,31,29,28
Florida,88,81,62,1,1,58,57,3,52,54,62,69,51,60,0,0,23,48,70,1,33,29,72,68,63
Georgia,90,81,56,0,0,56,66,100,48,48,59,70,54,52,0,0,25,46,71,0,36,31,80,58,56
Hawaii,83,80,47,0,0,71,47,1,56,56,43,44,28,52,0,0,19,56,50,0,32,19,44,56,46
Idaho,82,85,85,0,0,72,78,1,69,97,82,71,67,80,0,0,74,100,88,0,60,74,83,89,71
Illinois,83,78,59,1,1,65,66,1,50,72,63,75,54,64,2,0,27,70,53,0,49,30,74,67,59
Indiana,80,81,68,2,2,64,72,1,59,69,74,68,60,63,0,0,42,76,66,0,56,40,73,65,71
Iowa,72,77,66,1,1,88,78,1,64,84,78,73,71,59,2,0,45,83,62,0,57,50,85,69,74
Kansas,70,71,57,0,0,62,77,1,43,88,61,74,64,58,0,0,44,98,61,0,56,45,81,69,65
Kentucky,94,85,67,4,1,73,73,2,48,64,68,72,68,50,0,0,35,65,69,0,41,36,79,78,65
Louisiana,92,85,50,0,0,54,48,2,42,36,44,54,47,36,0,0,30,36,46,0,27,39,57,52,46
Maine,73,77,74,0,0,78,74,2,67,63,92,69,76,76,0,0,50,77,60,9,63,47,62,70,74
Maryland,91,86,71,1,0,63,80,2,69,56,83,88,63,77,0,100,29,49,74,1,100,36,94,72,70
Massachusetts,76,73,68,0,0,62,74,2,46,65,72,72,57,70,0,0,24,60,52,100,61,30,76,64,64
Michigan,81,75,68,3,100,72,77,2,57,75,63,82,63,67,1,0,42,76,62,1,48,50,85,68,65
Minnesota,80,79,74,0,1,88,84,1,65,88,78,77,69,71,5,0,49,94,72,0,76,44,88,68,66
Mississippi,100,95,48,0,0,56,56,2,34,39,51,55,58,31,0,0,37,39,65,0,23,43,62,46,61
Missouri,79,79,62,0,0,67,77,1,42,81,72,74,66,61,0,0,44,83,62,0,58,43,76,70,70
Montana,81,86,89,1,1,94,98,1,60,89,100,82,79,100,1,0,83,98,88,0,67,74,81,78,100
Nebraska,78,75,62,0,0,69,65,1,44,91,66,65,56,47,0,0,40,89,67,0,58,37,72,65,63
Nevada,80,80,71,0,0,56,61,1,47,63,77,71,52,65,0,0,28,57,80,0,33,39,74,77,72
New Hampshire,81,81,79,0,0,91,88,1,60,100,94,66,67,75,0,0,41,84,58,20,76,42,72,68,90
New Jersey,92,91,67,0,0,63,65,2,59,57,61,83,54,82,0,1,22,52,65,1,43,31,87,72,57
New Mexico,98,100,77,1,0,80,87,1,63,81,74,79,81,73,0,0,68,76,81,0,49,67,87,83,77
New York,78,75,58,0,0,47,39,1,44,48,46,44,34,48,0,0,15,43,36,1,35,18,46,56,42
North Carolina,86,85,58,1,0,57,72,3,52,73,70,65,60,57,0,0,31,71,52,0,56,30,76,61,67
North Dakota,80,83,66,0,1,75,97,1,33,85,73,100,75,52,1,0,68,91,82,0,48,84,95,80,79
Ohio,89,89,73,100,3,62,73,2,71,59,79,75,63,63,0,0,39,58,69,1,47,43,76,78,74
Oklahoma,89,81,60,0,0,68,59,1,42,59,64,66,53,54,0,0,31,58,60,0,34,38,79,60,71
Oregon,67,71,75,0,0,66,62,1,60,73,84,57,43,65,0,0,32,71,65,0,52,31,54,74,70
Pennsylvania,90,85,68,2,0,66,79,2,60,63,79,79,64,68,0,2,37,58,68,1,60,40,87,73,70
Rhode Island,77,78,71,0,0,65,72,2,48,69,74,76,58,61,0,0,24,65,59,16,50,26,84,62,67
South Carolina,78,81,58,1,0,54,64,5,40,60,63,58,57,54,0,0,35,60,59,0,49,36,68,58,70
South Dakota,84,82,70,0,0,100,85,1,55,97,87,66,71,56,1,0,50,94,70,0,46,61,74,60,72
Tennessee,81,78,58,1,1,63,68,3,42,61,74,63,62,51,0,0,29,60,66,0,46,32,71,62,70
Texas,90,80,50,0,0,54,57,1,41,59,58,63,48,53,0,0,20,56,54,0,36,25,66,70,55
Utah,81,85,81,0,0,73,77,1,100,100,76,81,65,78,0,0,44,96,71,0,77,49,84,100,66
Vermont,70,79,76,0,0,85,72,2,87,82,92,68,76,45,0,0,41,74,57,7,64,42,75,65,84
Virginia,79,77,67,1,0,59,75,2,53,71,79,81,61,68,0,5,35,65,79,1,77,37,88,70,72
Washington,76,78,100,0,0,68,59,1,58,78,95,59,39,81,0,0,27,76,55,0,58,29,55,76,80
West Virginia,87,83,78,6,0,79,99,2,62,66,93,87,100,74,0,4,100,68,100,0,51,82,100,75,94
Wisconsin,81,82,74,1,1,78,78,1,55,85,79,75,65,61,100,0,40,89,58,0,61,42,82,73,71
Wyoming,84,81,75,0,1,86,100,1,84,99,77,70,100,71,0,0,100,99,75,0,77,100,100,71,82
